epoch,train_loss,valid_loss
0,147.91464233398438,116.66151428222656
1,109.50381469726562,105.54717254638672
2,103.3680648803711,101.54598236083984
3,100.50367736816406,100.55467987060547
4,98.82725524902344,98.66473388671875
5,97.71393585205078,97.60272216796875
6,96.96385192871094,96.9369888305664
7,96.31527709960938,96.86312103271484
8,95.80194854736328,95.81197357177734
9,95.44876861572266,95.7818603515625
10,95.04102325439453,95.80099487304688
11,94.69019317626953,95.33932495117188
12,94.36406707763672,94.84324645996094
13,94.11836242675781,94.45685577392578
14,93.90774536132812,94.77500915527344
15,93.78234100341797,94.16156768798828
16,93.60326385498047,93.98738098144531
17,93.32808685302734,93.83073425292969
18,93.21344757080078,93.76563262939453
19,93.0576171875,94.8575439453125
